variable_code,variable_name,unit,method,variable_type,variable_subtype,R_display,valence,flux_convertible,molecule,notes,val_min,val_max
lg_nlcd_1992_pasture,Pasture/Hay (1992),%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_1992_row_crop,Row Crops (1992),%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_1992_small_grains,Small Grains (1992),%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_1992_fallow,Fallow (1992),%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_1992_urban_grass,Urban/Recreational Grasses (1992),%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_1992_wetland_wood,Woody Wetland (1992),%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_1992_wetland_herb,Emergent Herbaceous Wetland (1992),%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_barren,Barren Land,%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_crop,Cultivated Crops,%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_dev_hi,"Developed, High Intensity",%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_dev_low,"Developed, Low Intensity",%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_dev_med,"Developed, Medium Intensity",%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_dev_open,"Developed, Open Space",%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_forest_dec,Deciduous Forest,%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_forest_evr,Evergreen Forest,%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_forest_mix,Mixed Forest,%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_grass,Grassland/Herbaceous ,%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_ice_snow,Perennial Ice/Snow,%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_pasture,Pasture/Hay,%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_shrub,Shrub/Scrub,%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_water,Open Water,%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_wetland_herb,Emergent Herbaceous Wetland,%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_wetland_wood,Woody Wetland,%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_shrub_dwr,Dwarf Scrub,%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_sedge,Sedge/Herbaceous,%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_lncd_lichens,Lichens,%,UNKNOWN,ws_char,NLCD,,,0,,,,
lg_nlcd_moss,Moss,%,UNKNOWN,ws_char,NLCD,,,0,,,,
pf_soil_org,Soil Organic Matter,%,UNKNOWN,ws_char,Soil,,,0,,,,
pf_soil_sand,Soil Sand Content,%,UNKNOWN,ws_char,Soil,,,0,,,,
pf_soil_silt,Soil Silt Content,%,UNKNOWN,ws_char,Soil,,,0,,,,
pf_soil_clay,Soil Clay Content,%,UNKNOWN,ws_char,Soil,,,0,,,,
pf_soil_awc,Mean Soil Available Water Content,cm/cm,UNKNOWN,ws_char,Soil,,,0,,,,
pf_soil_water_0.1bar,Water Content at 1/10 bar,%,UNKNOWN,ws_char,Soil,,,0,,,,
pf_soil_water_0.33bar,Water Content at 1/3 bar,%,UNKNOWN,ws_char,Soil,,,0,,,,
pf_soil_water_15bar,Water Content at 15 bar,%,UNKNOWN,ws_char,Soil,,,0,,,,
pf_soil_water_0bar,Water Content at 0 bar,%,UNKNOWN,ws_char,Soil,,,0,,,,
pf_soil_cat_exchange_7,Mean Cation-exchange capacity,meq,UNKNOWN,ws_char,Soil,,,0,,,,
pf_soil_ph,Mean pH,unitless,UNKNOWN,ws_char,Soil,,,0,,,,
pi_soil_thickness,Mean Soil Thinkness,m,UNKNOWN,ws_char,Soil,,,0,,,,
vj_tcw_sd,Tasseled Cap Wetness Standard Deviation,unitless,UNKNOWN,ws_char,Tasseled Cap Wetness,,,0,,,,
vj_tcw_median,Tasseled Cap Wetness Median,unitless,UNKNOWN,ws_char,Tasseled Cap Wetness,,,0,,,,
vj_tcw_max,Tasseled Cap Wetness Annual Maximum,unitless,UNKNOWN,ws_char,Tasseled Cap Wetness,,,0,,,,
vj_tcw_min,Tasseled Cap Wetness Annual Minimum,unitless,UNKNOWN,ws_char,Tasseled Cap Wetness,,,0,,,,
vj_tcw_mean,Tasseled Cap Wetness Mean Annual,unitless,UNKNOWN,ws_char,Tasseled Cap Wetness,,,0,,,,
vj_tcw_sd_year,Tasseled Cap Wetness Annual Standard Deviation,unitless,UNKNOWN,ws_char,Tasseled Cap Wetness,,,0,,,,
ck_et_ref_sd,Daily Reference Evapotranspiration (grass) Standard Deviation,mm,UNKNOWN,ws_char,GRIDMET,,,0,,,,
ck_et_ref_median,Daily Reference Evapotranspiration (grass),mm,UNKNOWN,ws_char,GRIDMET,,,0,,,,
ck_et_ref_mean,Mean Annual Reference Evapotranspiration (grass),mm,UNKNOWN,ws_char,GRIDMET,,,0,,,,
ck_et_ref_sd_year,Annual Reference Evapotranspiration (grass) Standard Deviation,mm,UNKNOWN,ws_char,GRIDMET,,,0,,,,
ck_et_ref_sd_space,Watershed Reference Evapotranspiration (grass) Standard Deviation,mm,UNKNOWN,ws_char,GRIDMET,,,0,,,,
cl_snow_depth_ann_max,Annual Max Snow Depth,mm,UNKNOWN,ws_char,Snow,,,0,,,,
cl_snow_depth_ann_mean,Annual Mean Snow Depth,mm,UNKNOWN,ws_char,Snow,,,0,,,,
cl_snow_depth_ann_min,Annual Minimum Snow Depth,mm,UNKNOWN,ws_char,Snow,,,0,,,,
cl_snow_depth_sd_space,Annual Snow Depth Standard Deviation,mm,UNKNOWN,ws_char,Snow,,,0,,,,
cl_snow_depth_cd_year,Watershed Snow Depth Standard Deviation,mm,UNKNOWN,ws_char,Snow,,,0,,,,
cl_swe_ann_max,Annual Max Snow Water Equivalent,mm,UNKNOWN,ws_char,Snow,,,0,,,,
cl_swe_ann_mean,Annual Mean Snow Water Equivalent,mm,UNKNOWN,ws_char,Snow,,,0,,,,
cl_swe_ann_min,Annual Minimum Snow Water Equivalent,mm,UNKNOWN,ws_char,Snow,,,0,,,,
cl_swe_sd_space,Annual Snow Water Equivalent Standard Deviation,mm,UNKNOWN,ws_char,Snow,,,0,,,,
cl_swe_sd_year,Watershed Snow Water Equivalent Standard Deviation,mm,UNKNOWN,ws_char,Snow,,,0,,,,
cl_snow_depth_mean,Daily Mean Snow Depth,mm,UNKNOWN,ws_char,Snow,,,0,,,,
cl_snow_depth_sd,Daily Snow Depth Standard Deviation,mm,UNKNOWN,ws_char,Snow,,,0,,,,
cl_swe_mean,Daily Mean Snow Water Equivalent,mm,UNKNOWN,ws_char,Snow,,,0,,,,
cl_swe_sd,Daily Snow Water Equivalent Standard Deviation,mm,UNKNOWN,ws_char,Snow,,,0,,,,
pm_sub_surf_porosity_mean,Mean Subsurface Porosity,,UNKNOWN,ws_char,Other,,,0,,,,
pm_sub_surf_porosity_sd,Subsurface Porosity Standard Deviation,,UNKNOWN,ws_char,Other,,,0,,,,
pm_sub_surf_permeability_mean,Mean Subsurface Permeability (log10),,UNKNOWN,ws_char,Other,,,0,,,,
pm_sub_surf_permeability_sd,Mean Subsurface Permeability Standard Deviation,,UNKNOWN,ws_char,Other,,,0,,,,
pm_sub_surf_permeability_perm_mean,Mean Subsurface Permeability with Permafrost (log10),,UNKNOWN,ws_char,Other,,,0,,,,
pm_sub_surf_permeability_perm_sd,Mean Subsurface Permeability with Permafrost Standard Deviation,,UNKNOWN,ws_char,Other,,,0,,,,
geol_class_MT,Geologic Class Metamorphic Rocks,%,UNKNOWN,ws_char,Lithology,,,0,,,,
geol_class_PA,Geologic Class Acid Plutonic Rocks,%,UNKNOWN,ws_char,Lithology,,,0,,,,
geol_class_SU,Geologic Class Unconcolidated Sediments,%,UNKNOWN,ws_char,Lithology,,,0,,,,
geol_class_ND,Geologic Class No Data,%,UNKNOWN,ws_char,Lithology,,,0,,,,
geol_class_SS,Geologic Class Siliciclasstic Sedimentary Rock,%,UNKNOWN,ws_char,Lithology,,,0,,,,
geol_class_SM,Geologic Class Mixed Sedimentary Rocks,%,UNKNOWN,ws_char,Lithology,,,0,,,,
geol_class_SC,Geologic Class Carbonate Sedimentary Rocks,%,UNKNOWN,ws_char,Lithology,,,0,,,,
geol_class_PY,Geologic Class Pyroclastics,%,UNKNOWN,ws_char,Lithology,,,0,,,,
geol_class_EV,Geologic Class Evaporites,%,UNKNOWN,ws_char,Lithology,,,0,,,,
geol_class_PI,Geologic Class Intermediate Plutonic Rock,%,UNKNOWN,ws_char,Lithology,,,0,,,,
geol_class_PB,Geologic Class Basic Plutonic Rocks,%,UNKNOWN,ws_char,Lithology,,,0,,,,
geol_class_VA,Geologic Class Acid Volcanic Rocks,%,UNKNOWN,ws_char,Lithology,,,0,,,,
geol_class_VI,Geologic Class Intermediate Volcanic Rock,%,UNKNOWN,ws_char,Lithology,,,0,,,,
geol_class_VB,Geologic Class Basic Volvanic Rocks,%,UNKNOWN,ws_char,Lithology,,,0,,,,
geol_class_IG,Geologic Class Ice and Glaciers,%,UNKNOWN,ws_char,Lithology,,,0,,,,
geol_class_WB,Geologic Class Water Bodies,%,UNKNOWN,ws_char,Lithology,,,0,,,,
MH_Al,Moss: Hygrohypnum: Aluminum,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MH_B,Moss: Hygrohypnum: Boron,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MH_Ca,Moss: Hygrohypnum: Calcium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MH_C,Moss: Hygrohypnum: Carbon,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MH_Cu,Moss: Hygrohypnum: Copper,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MH_Fe,Moss: Hygrohypnum: Iron,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MH_Mg,Moss: Hygrohypnum: Magnesium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MH_Mn,Moss: Hygrohypnum: Manganese,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MH_N,Moss: Hygrohypnum: Nitrogen,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MH_P,Moss: Hygrohypnum: Phosphorus,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MH_K,Moss: Hygrohypnum: Potassium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MH_Na,Moss: Hygrohypnum: Sodium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MH_S,Moss: Hygrohypnum: Sulfur,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MH_Zn,Moss: Hygrohypnum: Zinc,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MS_Al,Moss: Schistidium: Aluminum,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MS_B,Moss: Schistidium: Boron,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MS_Ca,Moss: Schistidium: Calcium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MS_C,Moss: Schistidium: Carbon,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MS_Cu,Moss: Schistidium: Copper,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MS_Fe,Moss: Schistidium: Iron,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MS_Mg,Moss: Schistidium: Magnesium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MS_Mn,Moss: Schistidium: Manganese,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MS_N,Moss: Schistidium: Nitrogen,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MS_P,Moss: Schistidium: Phosphorus,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MS_K,Moss: Schistidium: Potassium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MS_Na,Moss: Schistidium: Sodium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MS_S,Moss: Schistidium: Sulfur,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MS_Zn,Moss: Schistidium: Zinc,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MF_N,Moss: Fontinalis: Nitrogen,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MF_P,Moss: Fontinalis: Phosphorus,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
ML_Al,Moss: Lemanea: Aluminum,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
ML_B,Moss: Lemanea: Boron,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
ML_Ca,Moss: Lemanea: Calcium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
ML_C,Moss: Lemanea: Carbon,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
ML_Cu,Moss: Lemanea: Copper,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
ML_Fe,Moss: Lemanea: Iron,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
ML_Mg,Moss: Lemanea: Magnesium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
ML_Mn,Moss: Lemanea: Manganese,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
ML_N,Moss: Lemanea: Nitrogen,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
ML_P,Moss: Lemanea: Phosphorus,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
ML_K,Moss: Lemanea: Potassium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
ML_Na,Moss: Lemanea: Sodium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
ML_S,Moss: Lemanea: Sulfur,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
ML_Zn,Moss: Lemanea: Zinc,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MLW_Al,Moss: Liverwort: Aluminum,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MLW_B,Moss: Liverwort: Boron,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MLW_Ca,Moss: Liverwort: Calcium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MLW_C,Moss: Liverwort: Carbon,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MLW_Cu,Moss: Liverwort: Copper,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MLW_Fe,Moss: Liverwort: Iron,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MLW_Mg,Moss: Liverwort: Magnesium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MLW_Mn,Moss: Liverwort: Manganese,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MLW_N,Moss: Liverwort: Nitrogen,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MLW_P,Moss: Liverwort: Phosphorus,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MLW_K,Moss: Liverwort: Potassium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MLW_Na,Moss: Liverwort: Sodium,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MLW_S,Moss: Liverwort: Sulfur,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MLW_Zn,Moss: Liverwort: Zinc,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,
MF_C,Moss: Fontinalis: Carbon,%,Dry weight before and after 550C muffle,bio,Other,expression(UNKNOWN),,0,,From Arctic LTER,0,